Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name
mickeymouse,1,112.05,Customer,Fun!23,Mickey,2/29/36,3,true,Mouse,
donaldduck,2,35.85,Customer,Fun!23,Donald,3/21/17,6,true,Duck,
minniemouse,3,108.42,Customer,Fun!23,Minnie,11/23/42,5,false,Mouse,
goofydisney,4,164.04,Customer,Fun!23,Goofy,6/10/34,7,false,Disney,
plutodisney,5,87.64,Customer,Fun!23,Pluto,8/5/95,2,true,Disney,
chipdisney,6,53.56,Customer,Fun!23,Chip,11/28/41,2,false,Disney,
daledisney,7,98.63,Customer,Fun!23,Dale,10/8/50,6,false,Disney,
cinderelladisney,8,93.82,Customer,Fun!23,Cinderella,4/9/98,4,false,Disney,
arieldisney,9,76.43,Customer,Fun!23,Ariel,3/12/37,3,true,Disney,
jasminedisney,10,41.52,Customer,Fun!23,Jasmine,3/22/02,2,true,Disney,
aladdindisney,11,51.6,Customer,Fun!23,Aladdin,11/3/66,5,true,Disney,
simbadisney,12,26.04,Customer,Fun!23,Simba,3/23/29,7,true,Disney,
mufassadisney,13,44.04,Customer,Fun!23,Mufassa,1/24/00,3,true,Disney,
auroradisney,14,55.03,Customer,Fun!23,Aurora,7/18/62,9,true,Disney,
peterpan,15,80.05,Customer,Fun!23,Peter,12/26/30,7,true,Pan,
woodydisney,16,147.46,Customer,Fun!23,Woody,2/20/91,6,false,Disney,
buzzlightyear,17,194.93,Customer,Fun!23,Buzz,12/2/27,8,true,Lightyear,
jafaraladdin,18,12.66,Customer,Fun!23,Jafar,3/16/28,5,false,Aladdin,
urselamermaid,19,115.85,Customer,Fun!23,Ursela,1/11/94,4,true,Mermaid,
beastdisney,20,71.24,Customer,Fun!23,Beast,1/18/44,5,true,Disney,
belledisney,21,112.3,Customer,Fun!23,Belle,10/13/15,2,false,Disney,
cruellade vil,22,36.7,Customer,Fun!23,Cruella,12/12/23,6,false,De Vil,
scarlion,23,217.44,Customer,Fun!23,Scar,5/10/75,4,true,Lion,
simbaking,24,114.39,Customer,Fun!23,Simba,9/20/97,4,true,King,
gastondisney,25,203.43,Customer,Fun!23,Gaston,6/12/32,3,true,Disney,
sherekhan,26,48.51,Customer,Fun!23,Shere,2/18/74,6,false,Khan,
captaiinhook,27,59.17,Customer,Fun!23,Captaiin,8/18/88,2,false,Hook,
kaadisney,28,82.74,Customer,Fun!23,Kaa,1/27/43,4,false,Disney,
evilqueen,29,100.17,Customer,Fun!23,Evil,1/1/58,7,true,Queen,
